cleaned_ocr,common_name,scientific_name,range,specimen_sketched,plate_number,corrected_plate,page_id,state,country
"RED LILIES

Lilium montanum Nelson

Such hosts of red lilies are seen in the dry woods of the Canadian Rockies in some sections in July, that the prodigality of nature seems astounding. If perchance a richer soil and more sunlight are available, the perfectly developed flowers and the stouter leaves and stems indicate an appreciation of these favors. But the red lilies are tender things, withering speedily when gathered, especially when exposed to sun and wind, and they do not easily revive when placed in water.

The red lily is found in the Rocky Mountains from New Mexico to British Columbia, and eastward in the foothills and valleys.

The specimen painted was gathered in Sinclair Canyon, not far from Radium Hot Springs, British Columbia, at an altitude of 3,000 feet.

PLATE 11",RED LILIES,Lilium montanum Nelson,"The red lily is found in the Rocky Mountains from New Mexico to British Columbia, and eastward in the foothills and valleys.","The specimen painted was gathered in Sinclair Canyon, not far from Radium Hot Springs, British Columbia, at an altitude of 3,000 feet.",11,11,42602724,British Columbia,Canada
"COTTONGRASS

Eriophorum chamissonis Meyer

In all parts of the Rocky Mountains of Canada one’s attention is drawn in mid-July to the masses of sedge growing along the wet borders of alpine lakes, oftentimes out of the water itself. If there have been a few dry days, the cottony heads are waving in the breeze, as it fitfully blows over them. Farther away from the lake shore the plants become scattered and lose much of the beauty that comes from a massed effect. Buffeted by mountain showers and winds, they are in their prime only a few days.

This species of cottongrass is found usually about timber line in the Rockies. It is a circumpolar plant, occurring in northern Europe and Asia as well as North America. On this continent, it perhaps survived the glacial period in Wyoming and adjoining States, where it still grows, but since the ice retreated it has spread far into Alaska, and eastward across Canada to Ontario and even to New Brunswick.

The sketch was made from specimens gathered at Cottongrass Lake, north of Ptarmigan Pass, ten miles north of Lake Louise Station, Alberta, at an altitude of 7,000 feet.

PLATE 12",COTTONGRASS,Eriophorum chamissonis Meyer,"This species of cottongrass is found usually about timber line in the Rockies. It is a circumpolar plant, occurring in northern Europe and Asia as well as North America. On this continent, it perhaps survived the glacial period in Wyoming and adjoining States, where it still grows, but since the ice retreated it has spread far into Alaska, and eastward across Canada to Ontario and even to New Brunswick.","The sketch was made from specimens gathered at Cottongrass Lake, north of Ptarmigan Pass, ten miles north of Lake Louise Station, Alberta, at an altitude of 7,000 feet.",12,12,42602723,Alberta,Canada
"VERNAL IRIS

Iris verna Linnaeus

Although the vernal iris is not very well known, it is so lovely a wildling that it should find a home in our wildflower gardens. In his 
“Book of the Iris”, Dykes reports his inability to cultivate it, but this was probably owing to his failure to recognize its peculiar soil requirements. It usually grows on wooded hillsides, preferring a mediacid soil. Though the whole plant is only about six inches tall, its violet-blue flowers with yellow markings at the base of the petals cannot be easily overlooked, for they are very large in proportion to the grasslike leaves. In early spring the blossoms dot the barren fields of the Southern States, where real blue violets do not occur, and are often called “violets.” Curiously enough, their delicate fragrance adds to the deception, for it closely resembles the scent of the garden violet.

This iris ranges over most of Alabama and Georgia and the states adjoining them on the north, but farther northward it becomes rare, occurring in but a few favored localities in Kentucky, Maryland, and Pennsylvania.

The specimen painted was found near Beaufort, South Carolina.

PLATE 13",VERNAL IRIS,Iris verna Linnaeus,"This iris ranges over most of Alabama and Georgia and the states adjoining them on the north, but farther northward it becomes rare, occurring in but a few favored localities in Kentucky, Maryland, and Pennsylvania.","The specimen painted was found near Beaufort, South Carolina.",13,13,42602722,South Carolina,USA
"ANEMONELLA

Syndesmon thalictroides (Linnaeus) Hoffmannsegg

Anemonella, often called rue-anemone, frequents open woods, where it is found in company with hepatica and bloodroot when the first warm days of spring call sleeping plants to awaken. The slender stems, bearing the fragile green leaves and delicate pink or white florets, grow from a cluster of small tuberous roots. These hold so lightly to the soil that they are easily pulled up, unless care is taken in plucking the flowering stems. Anemonella, the only member of its genus, resembles somewhat its relatives, the true anemones or windflowers, but differs in having the flowers in clusters, and the leaves divided into rounded leaflets. It yields readily to cultivation and is a real desideratum for the wildflower garden.

Anemonella is a wide-ranging species, extending from Florida to New Hampshire and westward to Kansas and Minnesota.

The specimen sketched was found at Washington, District of Columbia.

PLATE 14",ANEMONELLA,Syndesmon thalictroides (Linnaeus) Hoffmannsegg,"Anemonella is a wide-ranging species, extending from Florida to New Hampshire and westward to Kansas and Minnesota.","The specimen sketched was found at Washington, District of Columbia.",14,14,42602721,District of Columbia,USA
"WHITE TROUTLILY

Erythronium albidum Nuttall

White troutlily is one of the daintiest of our early spring flowers, and east of the Appalachian Mountains is much rarer than the yellow species, which it closely resembles in habit. The shining green leaves are marked with pale mottlings of brownish purple, or in exceptional plants are entirely green. The flowers open only in bright sunlight, and speedily close and wither when gathered. It is known in some sections as dogtooth violet, but as it has no relation to the Violet Family, the name troutlily, suggested by John Burroughs, seems most appropriate.

White troutlily is the common species in the Middle West, from Texas to Minnesota, and eastward to the Appalachian Mountain region. Here and there its seeds have chanced to cross the mountain barrier and, carried down the streams, have lodged along the banks and established colonies in the Piedmont regions from Georgia to northern New Jersey.

The specimen sketched was obtained in the Potomac Valley above Washington, District of Columbia.

PLATE 15",WHITE TROUTLILY,Erythronium albidum Nuttall,"White troutlily is the common species in the Middle West, from Texas to Minnesota, and eastward to the Appalachian Mountain region.","The specimen sketched was obtained in the Potomac Valley above Washington, District of Columbia.",15,15,42602720,District of Columbia,USA
"HAZEL ALDER

Alnus rugosa (Du Roi) Sprengel

The alders are widespread shrubs known to all who welcome the coming of spring. With the exception of the skunk cabbage, their blooms are the earliest forerunners of spring, and almost every swamp and sheltered brook where the sun can penetrate is decorated with numerous bushes, hung with purple and yellow pendent catkins. The pollen, furnished by these in large quantities, is blown by the wind, lighting on the little green or purplish knobs of pistillate flowers, which grow into ripe cones in autumn. Several species of the genus Alnus contain in their bark a coloring principle of value, dyeing either yellow or orange. With copperas added, a good black may be made from it. Before the coming of the white man with his commercial colors, alder dye was frequently used by the Indians.

There are several species of alder in the United States, the one here represented ranging from Florida to Texas and from Maine to Minnesota.

The sketch was made from a specimen gathered near Washington, District of Columbia.

PLATE 16",HAZEL ALDER,Alnus rugosa (Du Roi) Sprengel,The one here represented ranging from Florida to Texas and from Maine to Minnesota.,"The sketch was made from a specimen gathered near Washington, District of Columbia.",16,16,42602719,District of Columbia,USA
"TARFLOWER

Befaria racemosa Ventenat

While traveling through the South in June, whether by rail or automobile, one finds the green fringe of low shrubbery by the roadsides dotted here and there with the pink starlike blossoms of the tarflower. These shrubs rarely occur in dense vegetation, but usually in such places as will permit them to raise their flowery heads above the grass, weeds, and low shrubbery, to beckon the insect sponsors necessary for their cross-pollination.

The species ranges from southern Florida to southeastern Georgia.

The specimen here figured came from a woodland margin along the tracks of the Florida East Coast Railroad near Jacksonville, Florida.

PLATE 17",TARFLOWER,Befaria racemosa Ventenat,The species ranges from southern Florida to southeastern Georgia.,"The specimen here figured came from a woodland margin along the tracks of the Florida East Coast Railroad near Jacksonville, Florida.",17,17,42602718,Florida,USA
"ALPINE FIR

Abies lasiocarpa (Hooker) Nuttall

The alpine fir, commonly called balsam fir in the mountains, is the tree best known to those who follow the trail in the Canadian Rockies, for it is the substitute par excellence for a soft hair mattress, if the bed is properly made, and no sleep is more restful than that obtained on such an aromatic couch of “Rocky Mountain feathers”. From the numerous blisters in the bark a thick juice may be collected which makes an effective dressing for cuts and bruises. The Canada balsam used by microscopists in mounting specimens is obtained from a related species, the balsam fir. By some of the Indian tribes the fir tree was called “cho-koh-tung”, meaning blisters. The wood is soft and coarse-grained and, though it grows rather rapidly, is not of much value commercially. In the lower valleys of the Canadian Rockies, the tree attains to some size, and at timber line holds the final outposts with the Lyall larches, often affording a striking exhibit of nature’s adaptation to adverse conditions of soil, temperature, and wind.

This fir has a wide range. It survived the glacial period in the southern Rocky Mountains, in Northern Arizona and New Mexico, and since the ice retreated has migrated northward along the coast ranges to the Olympic Mountains of Washington, thence into Alaska, and through the eastern Rockies into Alberta, Canada.

The specimen sketched was obtained north of Bow Pass, one day’s ride from the Saskatchewan River, at the foot of Pyramid Peak, at 6,000 feet elevation.

PLATE 18",ALPINE FIR,Abies lasiocarpa (Hooker) Nuttall,"This fir has a wide range. It survived the glacial period in the southern Rocky Mountains, in Northern Arizona and New Mexico, and since the ice retreated has migrated northward along the coast ranges to the Olympic Mountains of Washington, thence into Alaska, and through the eastern Rockies into Alberta, Canada.","The specimen sketched was obtained north of Bow Pass, one day’s ride from the Saskatchewan River, at the foot of Pyramid Peak, at 6,000 feet elevation.",18,18,42602717,Alberta,Canada
"OCONEE-BELLS

Shortia galacifolia Torrey and Gray

This evergreen, ground-covering plant was for many years one of America’s “lost species”. It had been discovered by Michaux, the French botanist, during his travels in the mountain wilderness of North Carolina in 1788, but the exact spot where he found it long remained unknown, and the dried specimen he had collected, preserved in Paris, was the only proof that such a plant existed. In 1877 the plant was rediscovered, and subsequently found to be fairly abundant in a few restricted areas. I have not seen it in the wild, but Dr. Edgar T. Wherry informs me that it thrives in acid soils on steep slopes along shaded mountain brooks, and that the primroselike white flowers, starring the mats of winter-bronzed foliage in March, produce a charmingly beautiful effect. If transplanted into ordinary garden loam it soon dwindles and dies, but if given acid humus soil it is not hard to grow in cultivation. Oconee-bells is known to the mountaineers as the one-flower coltsfoot, but the common name has been given from its abundance in the Oconee Valley.

Oconee-bells is known to grow only in the Blue Ridge and adjoining parts of the Piedmont region in North and South Carolina. A close relative occurs in Japan, however, indicating that before the glacial period the genus must have spread over both northeastern Asia and northern North America. The ice advances no doubt exterminated some of the species, but the two that chanced to migrate far enough to the southward of the line reached by the ice sheets were preserved.

The specimen painted was grown by Dr. Frederick V. Coville, in acid peat-sand soil, in a greenhouse of the United States Department of Agriculture at Washington.

PLATE 19",OCONEE-BELLS,Shortia galacifolia Torrey and Gray,Oconee-bells is known to grow only in the Blue Ridge and adjoining parts of the Piedmont region in North and South Carolina.,"The specimen painted was grown by Dr. Frederick V. Coville, in acid peat-sand soil, in a greenhouse of the United States Department of Agriculture at Washington.",19,19,42602716,Washington,USA
"VIRGINIA BLUEBELLS

Mertensia virginica (Linnaeus) De Candolle

The lovely Virginia bluebells, with their exquisite bright green leaves, burst forth in unsuspected places in spring. Each year, after the blooming and seeding season, the plants disappear before midsummer, and not until another winter has passed and the spring sun and rains have enticed them from their hiding places, do we again locate them by their tender bronze-green shoots pushing through the moist earth. They love the rich soil of river meadows or the banks of streams, and cover the ground with their masses of bloom and tender green leaves. Virginia bluebells yield easily to cultivation in a wildflower garden, but they are not so well known as other members of the Borage Family, the forget-me-nots and the heliotropes. In Europe, they are much appreciated in cultivated gardens.

Virginia bluebells may be found from Georgia northward to New York and southern Ontario, and westward to Kansas and Minnesota.

The specimen sketched was obtained near Washington, District of Columbia.

PLATE 20",VIRGINIA BLUEBELLS,Mertensia virginica (Linnaeus) De Candolle,"Virginia bluebells may be found from Georgia northward to New York and southern Ontario, and westward to Kansas and Minnesota.","The specimen sketched was obtained near Washington, District of Columbia.",20,20,42602715,District of Columbia,USA
"BURGESS MILKVETCH

Astragalus bourgovit Gray

Among the numerous members of the Pea Family, this dainty plant is one of the most appealing. A number of stems grow from a central point and, falling carelessly all around, give the impression of a loose bouquet, the flowers, on their delicate stems, projecting beyond the leaves. The ponies like to eat them, and perfect specimens are difficult to obtain where horses have had access to the colonies.

Burgess milkvetch has a rather restricted range in the northern Rocky Mountains, from South Dakota and Montana to British Columbia. Usually, it is found among partially disintegrated rocks.

This specimen was gathered at Burgess Pass, seven miles by trail from Field, British Columbia, on a northwestern slope, at an elevation of 7,500 feet.

PLATE 21",BURGESS MILKVETCH,Astragalus bourgovit Gray,"Burgess milkvetch has a rather restricted range in the northern Rocky Mountains, from South Dakota and Montana to British Columbia.","This specimen was gathered at Burgess Pass, seven miles by trail from Field, British Columbia, on a northwestern slope, at an elevation of 7,500 feet.",21,21,42602714,British Columbia,Canada
"GREENDRAGON

Arisaema dracontium (Linnaeus) Schott

Greendragon is a vigorous plant and decidedly decorative, though its flower lacks the handsomer coloring of the jack-in-the-pulpit, its near relative. It is, however, of similar habit. Its deeply parted leaves growing on a long stem from the solid globular bulb or corm, reach a height of two feet or more. It loves the same rich, moist woods of low ground frequented by the jack-in-the-pulpit, but is rarely so abundant. The berry-like fruits of the greendragon are red-orange in color, and are clustered in heads that become conspicuous in early autumn. They are much more effective in calling attention to the plant than its green flowers or its foliage.

The range of the greendragon is rather wide, extending from Texas to Florida and northward to Minnesota, Ontario, and Maine.

This specimen grew along the Potomac River above Washington, District of Columbia.

PLATE 22",GREENDRAGON,Arisaema dracontium (Linnaeus) Schott,"The range of the greendragon is rather wide, extending from Texas to Florida and northward to Minnesota, Ontario, and Maine.","This specimen grew along the Potomac River above Washington, District of Columbia.",22,22,42602713,District of Columbia,USA
"TOAD TRILLIUM

Trillium sessile Linnaeus

Unlike most other members of its group, this trillium has a rather pleasant odor, but it does not approach other species in attractiveness, for its curious sessile flowers are dull in color. Normally the petals are of a deep maroon color, but in some plants, which show no differences, they are pale greenish yellow. It prefers deep, moist woods, and is easily overlooked among the fresh growths of April or May.

Toad trillium is a typical member of the flora of the Middle Western States, ranging from Mississippi to Florida, northward to Minnesota and western New York; occasionally it crosses the Appalachian Mountains and pushes down river valleys as far north as Maryland and southernmost Pennsylvania.

The specimen sketched grew on Plummers Island in the Potomac River near Washington, District of Columbia.

PLATE 23",TOAD TRILLIUM,Trillium sessile Linnaeus,"Toad trillium is a typical member of the flora of the Middle Western States, ranging from Mississippi to Florida, northward to Minnesota and western New York; occasionally it crosses the Appalachian Mountains and pushes down river valleys as far north as Maryland and southernmost Pennsylvania.","The specimen sketched grew on Plummers Island in the Potomac River near Washington, District of Columbia.",23,23,42602712,District of Columbia,USA
"SOUTHERN MAGNOLIA

Magnolia grandiflora Linnaeus

This stately magnolia is one of the most conspicuous trees of the southern woods, occasionally attaining a height of seventy feet. It proves hardy in cultivation as far north as Washington. The wonderful creamy flowers, encircled by the large, glossy, evergreen leaves, spring from the ends of almost every branch. Their delightful fragrance immediately attracts attention when the tree is at the height of its glory in June. Several species of beetles patronize the blossoms, enticed by the abundant pollen and nectar.

Today the members of the Magnolia Family found in America are but a remnant of the numerous species that flourished in pre-glacial times from the mid-continental plains to the Arctic Circle. The fossilized trunks found at Amethyst Mountain in Yellowstone Park, with specimens of both fruit and leaves, give an indication of their grandeur and beauty in former ages.

Southern magnolia is native throughout the Southern States from Texas to Florida and northward to Arkansas and southeastern North Carolina. It has been officially adopted as the State flower of both Louisiana and Mississippi.

PLATE 24",SOUTHERN MAGNOLIA,Magnolia grandiflora Linnaeus,Southern magnolia is native throughout the Southern States from Texas to Florida and northward to Arkansas and southeastern North Carolina.,[not given],24,24,42602711,?,?
"SOUTHERN MAGNOLIA

Magnolia grandiflora Linnaeus

FRUIT OF PLATE 24

As early autumn approaches, the fruit of the southern magnolia becomes conspicuous, and as it ripens the outer envelope cracks over each seed compartment and the crimson seeds protrude from their downy coverings. At this stage the tree affords a striking contrast of red fruit and glossy green leaves. As time passes, the seeds loosen from the shell, but are still attached to the conelike fruit by a slender white thread about an inch long, finally dropping to the ground when the wind blows them loose.

Southern magnolia is found native throughout the Southern States, from Texas to Florida, northward to Arkansas and southeastern North Carolina.

The specimen painted was taken from the large tree just south of the White House, and was given me by Mrs. Coolidge.

PLATE 24A",SOUTHERN MAGNOLIA,Magnolia grandiflora Linnaeus,"Southern magnolia is found native throughout the Southern States, from Texas to Florida, northward to Arkansas and southeastern North Carolina.","The specimen painted was taken from the large tree just south of the White House, and was given me by Mrs. Coolidge.",24A,24a,42602710,"Washington, D.C.",USA
"TRUMPETLEAF

Sarracenia flava Linnaeus

Anyone who has traveled through the South in spring and has been delighted by the fresh verdure of ferns and trees, cannot fail to have been attracted by the great numbers of these curious plants, which can be observed from the car windows. The trumpetleaf is the largest representative of the Pitcherplant Family, the yellow flowers measuring as much as five inches in diameter, and the yellowish-green tubular leaves, frequently veined with red on the pointed lid, growing two to three feet high. The inside of the leaves near the top has a very smooth and slippery waxed surface, so that flies and other insects that are attracted by an exudation just above the waxed surface lose their hold and slide to their death in the digestive liquid which the pitchers contain. All the members of this family have arrangements for utilizing the dead insects to their own advantage.

The trumpetleaf grows in damp acid soils, from northern Florida to the southernmost counties of Virginia.

The specimen sketched was brought into flower by Dr. F. V. Coville in a greenhouse of the Department of Agriculture in Washington. These plants are easy to cultivate if placed in a pot filled with acid soil made from a mixture of peat and sand, and this put into another pot of two inches greater diameter, the space between being filled with sphagnum moss. They should be kept in a cool greenhouse.

PLATE 25",TRUMPETLEAF,Sarracenia flava Linnaeus,"The trumpetleaf grows in damp acid soils, from northern Florida to the southernmost counties of Virginia.",The specimen sketched was brought into flower by Dr. F. V. Coville in a greenhouse of the Department of Agriculture in Washington.,25,25,42602709,Washington,USA
"REDBUD

Cercis canadensis Linnaeus

When the dogwood buds are bursting into bloom in early spring, a companion tree, the redbud, is seen throughout our southern woods, its knotted branches covered with clusters of purplish-pink, pea-shaped flowers. In favorable localities the tree attains a height of forty or fifty feet, though usually much smaller. The leaves, which develop after the flowers, are heart-shaped—quite unlike those of most legumes—and are a glossy green, turning to yellow in autumn. The flowers are well supplied with nectar and are most attractive to bees, who visit them in large numbers. In some regions, the redbud is known as Judas-tree, a name properly applied to the Old World species, Cercis siliquastrum.

The tree has a wide range, from Texas to Florida and northward. Though best developed in the South, it has been able to migrate north as far as Minnesota and northern New Jersey, and even a short distance into southern Ontario.

The specimen drawn was collected near Washington, District of Columbia.

PLATE 26",REDBUD,Cercis canadensis Linnaeus,"The tree has a wide range, from Texas to Florida and northward. Though best developed in the South, it has been able to migrate north as far as Minnesota and northern New Jersey, and even a short distance into southern Ontario.","The specimen drawn was collected near Washington, District of Columbia.",26,26,42602708,District of Columbia,USA
